Country,Overallrank,Overall mean BMI (kg/m2),Female rank,Female mean BMI (kg/m2),Male rank,Male mean BMI (kg/m2)
Seychelles,59,26.8,37,28,100,25.6
Spain,62,26.7,93,26,38,27.4
Moldova,62,26.7,56,27.1,82,26.3
Dominican Republic,62,26.7,49,27.4,88,26
Armenia,62,26.7,49,27.4,92,25.9
Lithuania,66,26.6,93,26,44,27.3
Belarus,66,26.6,89,26.2,50,27.1
Swaziland,68,26.5,25,28.9,130,24.1
Luxembourg,68,26.5,112,25.5,26,27.6
Slovakia,68,26.5,102,25.7,38,27.4
Russia,68,26.5,68,26.8,85,26.1
Guatemala,68,26.5,56,27.1,96,25.8
Poland,73,26.4,102,25.7,52,27
Turkmenistan,73,26.4,81,26.4,76,26.4
Honduras,73,26.4,51,27.3,105,25.5
Guyana,76,26.3,44,27.6,117,25
Hungary,76,26.3,119,25.2,33,27.5
Germany,76,26.3,106,25.6,52,27
Israel,76,26.3,89,26.2,82,26.3
Peru,76,26.3,66,26.9,98,25.7
Iran,81,26.2,54,27.2,112,25.3
Portugal,81,26.2,102,25.7,60,26.7
Brunei,81,26.2,77,26.6,96,25.8
Cuba,81,26.2,74,26.7,100,25.6
Kyrgyzstan,81,26.2,68,26.8,100,25.6
Vanuatu,81,26.2,68,26.8,100,25.6
Algeria,81,26.2,65,27,105,25.5
Cook Islands,88,26.1,100,25.8,7,28.8
Albania,88,26.1,106,25.6,67,26.6
Bosnia and Herzegovina,88,26.1,102,25.7,69,26.5
Uzbekistan,88,26.1,86,26.3,92,25.9
Mongolia,92,26,81,26.4,105,25.5
Norway,92,26,119,25.2,55,26.9
Italy,92,26,119,25.2,56,26.8
Bulgaria,92,26,115,25.3,60,26.7
Montenegro,92,26,112,25.5,69,26.5
Ukraine,92,26,100,25.8,76,26.4
Bolivia,98,25.9,51,27.3,122,24.6
Colombia,98,25.9,79,26.5,110,25.4
Brazil,98,25.9,93,26,92,25.9
Iceland,98,25.9,123,25.1,60,26.7
Finland,98,25.9,115,25.3,69,26.5
Yemen,103,25.8,79,26.5,113,25.2
Paraguay,103,25.8,93,26,100,25.6
Latvia,103,25.8,123,25.1,56,26.8
Sweden,103,25.8,131,24.9,60,26.7
Serbia,103,25.8,119,25.2,76,26.4
North Macedonia,103,25.8,115,25.3,76,26.4
Mauritius,109,25.6,89,26.2,117,25
Equatorial Guinea,109,25.6,92,26.1,117,25
Morocco,109,25.6,98,25.9,113,25.2
Gabon,112,25.5,81,26.4,122,24.6
Solomon Islands,112,25.5,81,26.4,124,24.5
Belgium,112,25.5,134,24.7,84,26.2
Estonia,112,25.5,142,24.3,52,27
Croatia,112,25.5,135,24.6,69,26.5
Tajikistan,117,25.4,115,25.3,105,25.5
Netherlands,117,25.4,129,25,92,25.9
Austria,117,25.4,140,24.4,69,26.5
Papua New Guinea,120,25.3,106,25.6,117,25
Malaysia,120,25.3,106,25.6,117,25
Romania,120,25.3,131,24.9,98,25.7
Denmark,120,25.3,139,24.5,88,26
France,120,25.3,135,24.6,85,26.1
Switzerland,120,25.3,155,23.8,60,26.7
South Sudan,126,25.2,74,26.7,134,23.7
Sudan,126,25.2,74,26.7,134,23.7
